"Percent through gene"	"10-ng-UHR_U001_S1_L001"	"10-ng-UHR_U002_S2_L001"	"10-ng-UHR_U003_S3_L001"	"10-ng-UHR_U004_S4_L001"	"10-ng-UHR_U005_S5_L001"	"100-ng-UHR_U011_S11_L001"	"100-ng-UHR_U012_S12_L001"	"100-ng-UHR_U013_S13_L001"	"100-ng-UHR_U014_S14_L001"	"100-ng-UHR_U015_S15_L001"	"100ng_A10_S25_L002"	"100ng_A6_S21_L002"	"100ng_A7_S22_L002"	"100ng_A8_S23_L002"	"100ng_A9_S24_L002"	"100ng_U003_S6_L001"	"100ng_U004_S7_L001"	"100ng_U019_S8_L001"	"100ng_U020_S9_L001"	"100ng_U021_S10_L001"	"200ng_A11_S26_L002"	"200ng_A12_S27_L002"	"200ng_B1_S28_L002"	"200ng_B2_S29_L002"	"200ng_B3_S30_L002"	"200ng_U005_S11_L001"	"200ng_U006_S12_L001"	"200ng_U022_S13_L001"	"200ng_U023_S14_L001"	"200ng_U024_S15_L001"	"50-ng-UHR_U006_S6_L001"	"50-ng-UHR_U007_S7_L001"	"50-ng-UHR_U008_S8_L001"	"50-ng-UHR_U009_S9_L001"	"50-ng-UHR_U010_S10_L001"	"500ng_B4_S31_L002"	"500ng_B5_S32_L002"	"500ng_B6_S33_L002"	"500ng_B7_S34_L002"	"500ng_B8_S35_L002"	"50ng_A1_S16_L002"	"50ng_A2_S17_L002"	"50ng_A3_S18_L002"	"50ng_A4_S19_L002"	"50ng_A5_S20_L002"	"50ng_U001_S1_L001"	"50ng_U002_S2_L001"	"50ng_U016_S3_L001"	"50ng_U017_S4_L001"	"50ng_U018_S5_L001"
31	1.109434	1.097906	1.099119	1.119314	1.104371	1.104231	1.120579	1.139106	1.147383	1.126595	1.091288	1.1005	1.096102	1.098338	1.096595	1.125488	1.132746	1.12742	1.109661	1.100174	1.097975	1.098811	1.09551	1.100004	1.094782	1.114415	1.123293	1.120213	1.120502	1.125967	1.106044	1.127843	1.101305	1.131718	1.095104	1.102896	1.095039	1.098257	1.100789	1.1026	1.096194	1.08841	1.088771	1.089519	1.090839	1.109959	1.114199	1.121503	1.114563	1.047954
32	1.102815	1.097997	1.094065	1.11047	1.10296	1.095936	1.110889	1.133479	1.145539	1.123498	1.084984	1.093235	1.087694	1.089495	1.089726	1.127963	1.136946	1.130991	1.113834	1.105287	1.090494	1.091685	1.08936	1.094214	1.085224	1.121833	1.128602	1.126296	1.126629	1.129224	1.095606	1.127093	1.095924	1.133994	1.089378	1.095779	1.089215	1.091382	1.090601	1.092352	1.085295	1.084684	1.082549	1.082908	1.081904	1.114363	1.119925	1.126543	1.119903	1.051276
33	1.114697	1.106628	1.10452	1.119081	1.114081	1.104424	1.115988	1.135764	1.14647	1.126318	1.086842	1.094794	1.089989	1.091527	1.091848	1.131586	1.142271	1.140661	1.119389	1.108338	1.09184	1.093901	1.092446	1.094596	1.086908	1.126123	1.134746	1.130186	1.130971	1.131814	1.10388	1.133477	1.107397	1.138985	1.100244	1.098839	1.092232	1.094501	1.094623	1.095189	1.082133	1.088315	1.085338	1.086212	1.081947	1.121764	1.123437	1.132114	1.125916	1.053138
34	1.130968	1.116498	1.117511	1.131877	1.125672	1.116768	1.12877	1.145037	1.160002	1.138184	1.090731	1.100156	1.097248	1.096365	1.094732	1.137423	1.151955	1.149361	1.135008	1.119482	1.0978	1.099556	1.0976	1.097949	1.090494	1.129305	1.1396	1.13233	1.134824	1.133913	1.119843	1.147864	1.121226	1.150716	1.113913	1.10621	1.097789	1.100553	1.100098	1.102517	1.085925	1.097749	1.0951	1.096288	1.0844	1.126678	1.129558	1.140555	1.137472	1.067394
35	1.142966	1.125535	1.125796	1.142187	1.137171	1.125968	1.140838	1.153495	1.165911	1.142269	1.097157	1.106034	1.105756	1.103373	1.10223	1.153997	1.170405	1.167942	1.160441	1.146179	1.105182	1.106723	1.10614	1.103546	1.098533	1.148457	1.1578	1.147187	1.152332	1.151039	1.134627	1.157905	1.133479	1.158174	1.124886	1.116408	1.105698	1.109269	1.106798	1.111638	1.094524	1.107843	1.104748	1.106862	1.091821	1.142595	1.149288	1.159103	1.158443	1.092629
36	1.143894	1.129404	1.126488	1.146408	1.140936	1.128128	1.14102	1.149825	1.164254	1.144182	1.093609	1.102632	1.10219	1.100237	1.100311	1.156101	1.17138	1.170463	1.159918	1.147701	1.102635	1.10123	1.103421	1.100284	1.096467	1.152607	1.160386	1.148102	1.15443	1.156029	1.136287	1.1565	1.138715	1.155456	1.128539	1.112289	1.102184	1.107011	1.102275	1.105715	1.094562	1.106551	1.103264	1.104182	1.090018	1.145248	1.152697	1.159896	1.160911	1.10052
37	1.150231	1.142756	1.13037	1.156445	1.15016	1.138763	1.150517	1.160366	1.172208	1.156149	1.09383	1.10642	1.104193	1.100923	1.104945	1.160493	1.170988	1.169863	1.157467	1.147237	1.106829	1.104644	1.105323	1.101219	1.101241	1.154645	1.163206	1.148926	1.157566	1.157229	1.146619	1.16559	1.15144	1.163885	1.138137	1.116589	1.105823	1.11083	1.106254	1.109513	1.097236	1.107719	1.106371	1.105134	1.092882	1.148796	1.157236	1.165413	1.161321	1.10761
38	1.154499	1.149201	1.135798	1.164022	1.159684	1.142883	1.152262	1.16801	1.177651	1.166084	1.102314	1.113807	1.112067	1.107405	1.111763	1.170984	1.180685	1.17866	1.159934	1.151197	1.115492	1.112139	1.112701	1.108222	1.111339	1.165236	1.173071	1.158673	1.165083	1.167155	1.151543	1.168108	1.156922	1.169269	1.142918	1.122898	1.113259	1.118239	1.113456	1.117879	1.104641	1.116381	1.114626	1.113415	1.100863	1.159135	1.165798	1.174237	1.166409	1.110617
39	1.155947	1.153885	1.141469	1.16636	1.166723	1.149922	1.156343	1.174758	1.181669	1.170628	1.110659	1.117262	1.117854	1.113899	1.117412	1.179515	1.189104	1.185714	1.168802	1.160891	1.120934	1.11741	1.117841	1.113969	1.116068	1.17497	1.180809	1.168005	1.173319	1.176238	1.153352	1.173839	1.164192	1.177068	1.148065	1.126021	1.116064	1.123023	1.117502	1.119447	1.113721	1.126298	1.121461	1.121927	1.107623	1.166232	1.174668	1.179394	1.171279	1.115343
40	1.143387	1.148744	1.136779	1.156867	1.159081	1.143013	1.14903	1.165451	1.172304	1.163551	1.116723	1.119431	1.123343	1.117108	1.12303	1.174971	1.183701	1.178696	1.164652	1.155596	1.120648	1.118697	1.121365	1.1172	1.11725	1.169462	1.172736	1.160098	1.167013	1.167406	1.145765	1.16752	1.157427	1.169833	1.140533	1.126112	1.117156	1.122235	1.118098	1.117025	1.119094	1.13003	1.126697	1.126022	1.113633	1.163717	1.171575	1.176039	1.167938	1.106252
41	1.151152	1.156949	1.144671	1.163455	1.165028	1.15271	1.157292	1.173305	1.179598	1.17092	1.128002	1.128073	1.134861	1.127648	1.132514	1.181191	1.186395	1.181048	1.170953	1.162385	1.1307	1.128927	1.131719	1.127685	1.127157	1.169102	1.172029	1.159133	1.165904	1.166764	1.1537	1.178101	1.168226	1.179097	1.149289	1.136195	1.127693	1.130992	1.127413	1.126935	1.125783	1.136299	1.131295	1.133426	1.123631	1.168398	1.175718	1.180956	1.173732	1.105266
42	1.168074	1.174183	1.154969	1.182462	1.175679	1.168619	1.168204	1.187384	1.192771	1.188209	1.138766	1.138663	1.145359	1.138131	1.143038	1.19568	1.197417	1.193438	1.182916	1.174678	1.141315	1.140735	1.143769	1.138926	1.138005	1.180567	1.183039	1.169326	1.176456	1.179112	1.170105	1.193006	1.184426	1.194672	1.164141	1.149074	1.139837	1.143224	1.139214	1.138735	1.134592	1.144873	1.138874	1.141952	1.134372	1.179714	1.189326	1.191179	1.187127	1.117185
