samplename,Average_library_size__TapeStation,Conc_ng_per_ul__KAPA,Conc_ng_per_ul__TapeStation,Covered.genes.per.sample,FRAC_CODING_BASES,FRAC_CORRECT_STRAND_READS,FRAC_INTERGENIC_BASES,FRAC_INTRONIC_BASES,FRAC_RIBOSOMAL_BASES,FRAC_UTR_BASES,Fastq_file_prefixes,Final_library_conc_nM__KAPA,Final_library_conc_nM__TapeStation,Input_concentration,Library_prep,MEDIAN_3PRIME_BIAS,MEDIAN_5PRIME_BIAS,MEDIAN_5PRIME_TO_3PRIME_BIAS,MEDIAN_CV_COVERAGE,Mean.coverage.per.sample.after.filtering,Percentage.reads.mapped.to.ribosomal.mitochondrial.genes,Read.coverage.per.sample,STAR_perc_ambiguous,STAR_perc_mapped,STAR_perc_multimapping,STAR_perc_noFeature,STAR_perc_unmapped,Well_column,Well_row
100_ng_U014_S,419,3.65,4.96,29491,0.522407,0.985671,0.041245,0.127668,0.007496,0.301184,100-ng-UHR_U014_S14_L001_R1_001,14.12,17.94,100_ng,Swift,0.551078,0.598174,0.957321,0.565649,1257.94891676169,0.969783580866168,16732393,4.32126083551668,74.4892838249732,4.50416307944252,14.1728916570979,2.51240060296973,1,E
100_ng_U015_S,396,1.87,2.61,29186,0.503184,0.985216,0.067382,0.129639,0.005777,0.294017,100-ng-UHR_U015_S15_L001_R1_001,7.66,9.99,100_ng,Swift,0.508039,0.607201,1.002031,0.610009,1205.24735841885,0.776553012471101,16033548,4.03103214060879,71.1276976906891,6.89535349674533,14.4046476256081,3.54126904634872,1,F
100_ng_U019_SR,443,10.84,8.72,34553,0.542909,0.964541,0.039393,0.123192,0.008438,0.286068,100ng_U019_S8_L001_R1_001,39.6,29.82,100_ng,Swift_Rapid,0.51189,0.612215,1.125155,0.638639,2739.49806157355,1.06748218720078,36437423,3.844341410802,67.827472025753,4.30619647540655,14.1394119430464,9.88257814499199,1,A
100_ng_U020_SR,450,4.42,5.8,34862,0.535017,0.965071,0.048503,0.123397,0.008543,0.28454,100ng_U020_S9_L001_R1_001,15.88,19.53,100_ng,Swift_Rapid,0.501193,0.592212,1.16454,0.65757,2786.25693652604,1.103378088351,37051488,3.82594279592452,66.1743676127905,4.80309085638085,14.2982541242209,10.8983446106832,2,B
100_ng_U021_SR,438,7.26,6.42,36383,0.522437,0.968128,0.054894,0.126859,0.008327,0.287483,100ng_U021_S10_L001_R1_001,26.81,22.21,100_ng,Swift_Rapid,0.494804,0.572426,1.097729,0.674166,3831.17309007982,1.08908974523591,50941991,3.89171712792979,67.0322540133823,5.39354390232528,14.8676024111085,8.81488254525408,2,C
10_ng_U001_S,456,13.86,14.92,27049,0.494867,0.987214,0.051459,0.132248,0.008359,0.313066,10-ng-UHR_U001_S1_L001_R1_001,49.19,49.57,10_ng,Swift,0.647486,0.659719,0.922303,0.455377,1394.03876852908,1.09439260138175,18555681,4.22549882520829,70.9570180683857,6.12936004931131,13.8443093814354,4.84381367565929,2,D
10_ng_U002_S,450,3.67,4.09,23491,0.47773,0.985099,0.058739,0.14898,0.007691,0.30686,10-ng-UHR_U002_S2_L001_R1_001,13.21,13.75,10_ng,Swift,0.615209,0.678232,0.948089,0.491288,645.831166856708,1.03943148103834,8595949,3.94740792413178,69.0028087745507,6.79865525603678,15.395600523063,4.85552752221774,1,C
10_ng_U003_S,449,2.2,2.48,26207,0.482148,0.986826,0.054084,0.143625,0.008448,0.311695,10-ng-UHR_U003_S3_L001_R1_001,7.92,8.35,10_ng,Swift,0.632949,0.667999,0.924962,0.44659,1655.72557962752,1.12181840842983,22040109,4.11736233206376,70.1947295356941,6.28939118284668,14.9874847620226,4.41103218737288,1,D
10_ng_U004_S,405,3.64,5.05,24771,0.474413,0.987134,0.060792,0.147467,0.007804,0.309524,10-ng-UHR_U004_S4_L001_R1_001,14.53,18.89,10_ng,Swift,0.609541,0.637433,0.869469,0.486317,1803.07943747624,1.05415956706322,23993711,3.89351806076728,69.468833832313,6.73283376977467,15.431997305061,4.47281703208405,1,E
10_ng_U005_S,408,2.79,3.15,23557,0.424908,0.982452,0.084631,0.179054,0.007642,0.303766,10-ng-UHR_U005_S5_L001_R1_001,11.08,11.7,10_ng,Swift,0.58842,0.61643,0.855409,0.499945,1911.03990877993,1.11409799487272,25450903,3.52635636420957,63.2392499201524,8.68092276433329,18.5048873384903,6.0485836128144,1,F
200_ng_A11_IL,293,74,32.5,30751,0.60542,0.989843,0.028049,0.072914,0.007057,0.286561,200ng_A11_S26_L002_R1_001,408.8,171,200_ng,Illumina_truseq,0.586731,0.639559,0.944695,0.430559,2249.54116305587,0.842524256407681,29924361,4.38501425450378,78.3838212757277,6.07545082595654,6.44704129266679,4.70867235114523,7,A
